PAMID,CountryCode,Country,PAM No,Name,Objective,Description,Type of instrument,Primary EU policy responsible objectives,Secondary EU policy responsible objectives,Tertiary EU policy responsible objectives,Related EU policies,Affected GHG,Link to EU Emissions Trading Scheme ETS,Targeted sectors,Status,Start year,End year,Comment on implementation period,Type of implementing entities,Name of implementing entities,Projection scenario in which the PAM is included,Inclusion of estimate in projections,Indicators to monitor and evaluate implementation,2015 total kt CO2 equivalent per year:number,2015 EU ETS kt CO2:number,2015 non ETS kt CO2:number,2020 total kt CO2:number,2020 EU ETS kt CO2:number,2020 non ETS kt CO2:number,2025 total kt CO2:number,2030 total kt CO2:number,Average emission reduction kt CO2,Impact included in another policy or policy package,Other policy or policy package in which the impact is included,Reference source of estimation ,Years for which the reduction applies,Basis for estimate,Factors affected by PAM,Inclusion of savings related to EU policies,Costs in EUR per tonne CO2 equivalent reduced sequestered,Absolute costs per year in EUR,Description _ basis for cost estimate,Documentation _ source of cost estimate,Interaction with other policies and measures at the national or EU level,Details on policy interactions,Non GHG_mitigation benefits,Additional comment,Name or organisation providing information on policy,Check of mandatory reporting,Comments by MS
AT-TRA-001,AT,Austria,01_TRA,Promotion of biofuels - Implementation of Directive 2003/30/EC on biofuels fuel Regulation,promotion of the use of biofuels or other renewable fuels for transport,see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Transport: Biofuels Directive (Directive 2003/30/EC) ,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,Transport: Biofuels Directive (Directive 2003/30/EC) ; Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,2020,Implementation: 2004/2013,National government,,with existing measures (WEM),,"Passenger car CO2, kt CO2 / M pkm",,,,2100,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,"sector agriculture, cultivation of energy plants",This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-002,AT,Austria,02_TRA,"Economic incentives - fuel tax increase in 2011 (""Klimabeitrag"") ",reduction of individual motorised transport and a shift towards public transport,see accompanying report,"Fiscal, Economic",Energy supply: Taxation of energy products 2003/96/EC,,,Energy supply: Taxation of energy products 2003/96/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2011,,,National government,,with existing measures (WEM),,"Passenger car CO2, kt CO2 / M pkm",,,,1200,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,"more fuel efficient driving, switch to public transportation ",This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-003,AT,Austria,03_TRA,Mobility management and awareness: klima:aktiv mobility programme,consultation of various stakeholders regarding emission reductions through fuel efficiency,see accompanying report,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2005,,,Regional entities,,with existing measures (WEM),,"Passenger car CO2, kt CO2 / M pkm",,,,500,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,No,,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-004,AT,Austria,04_TRA,Economic incentives - Greening the truck toll (Directive 2006/38/EC) ,charge the use of heavy goods on federal roads and highways,see accompanying report,"Fiscal, Economic",Transport: Infrastructure charging for heavy goods (revised Eurovignette) 2006/38/EC,,,Transport: Infrastructure charging for heavy goods (revised Eurovignette) 2006/38/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,National government,,with existing measures (WEM),,"Freight transport CO2, kt CO2 / M tkm",,,,400,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,"switch to other means of transports, e.g. railways or shipping",This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-005,AT,Austria,05_TRA,Economic incentives - Greening of consumption tax (NoVA) ,promotion of clean and efficient vehicles,"Vehicles causing CO2 emissions less than 120g/km, the NOVA is reduced by 300€. For vehicles causing emissions higher than 180g/km the tax increases by 25€ per g/km. The benchmark for malus application is 160 g/km.","Fiscal, Economic",Transport: Regulation on CO2 from cars 2009/443/EC,,,Transport: Regulation on CO2 from cars 2009/443/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2008,,,National government,,with existing measures (WEM),,"Passenger car CO2, kt CO2 / M pkm",,,,100,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,"more fuel efficient driving, switch to public transportation",This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-006,AT,Austria,06_TRA,Promotion of corporate rail connections,improving  on intermodal freight transport logistics,see accompanying report,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2013,,,Companies / businesses / industrial associations,,with existing measures (WEM),,"Freight transport CO2, kt CO2 / M tkm",,,,70,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,No,,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-007,AT,Austria,07_TRA,Mobility management and awareness raising: fuel saving intitiative,initiative to promote fuel saving,see accompanying report,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,,,Companies / businesses / industrial associations,,with existing measures (WEM),,"Passenger car CO2, kt CO2 / M pkm",,,,60,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,No,,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-008,AT,Austria,08_TRA,More efficient car use / telematics - existing speed limits of IG-L ,immission control caused by road transport,see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2009,,,National government,,with existing measures (WEM),,"Passenger car CO2, kt CO2 / M pkm",,,,30,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,more fuel efficient driving,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-009,AT,Austria,09_TRA,Trend electromobility - Implementation Plan for electric mobility ,"Development and use of clean, and at least partly electrified vehicles for private, public and commercial traffic, as well as the intelligent integration of innovative mobility offers and services",see accompanying report,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2013,,,"National government, Regional entities, Local government, Companies / businesses / industrial associations",,with existing measures (WEM),,"Passenger car CO2, kt CO2 / M pkm",,,,20,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,"increased electricity demand, effect on energy production",This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-010,AT,Austria,10_TRA,Economic incentive: fuel tax increase in 2015 and 2019,reduction of individual motorised transport and a shift towards public transport,see accompanying report,"Fiscal, Economic",Transport: Regulation on CO2 from cars 2009/443/EC,,,Transport: Regulation on CO2 from cars 2009/443/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2015,,,National government,,with additional measures (WAM),,"Passenger car CO2, kt CO2 / M pkm",,,,2100,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,"more fuel efficient driving, switch to public transportation",This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-011,AT,Austria,11_TRA,Economic incentives – Further greening of consumption tax (NoVA) ,promotion of clean and efficient vehicles,see accompanying report,"Fiscal, Economic",Transport: Regulation on CO2 from cars 2009/443/EC,,,Transport: Regulation on CO2 from cars 2009/443/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2015,,,National government,,with additional measures (WAM),,"Passenger car CO2, kt CO2 / M pkm",,,,300,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,"more fuel efficient driving, switch to public transportation",This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-012,AT,Austria,12_TRA,More efficient car use – nation wide speed limits,reduction of speed limits leading to less emissions,see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2015,,,National government,,with additional measures (WAM),,"Passenger car CO2, kt CO2 / M pkm
Freight transport CO2, kt CO2 / M tkm",,,,200,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,more fuel efficient driving,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-013,AT,Austria,13_TRA,Mobility Management and awareness - Promoting mobility management including Master Plan Bicycle & Pedestrian Master Plan,"promoting bycicle use and pedestrians
vehicles",see accompanying report,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2013,,,Regional entities,,with additional measures (WAM),,"Passenger car CO2, kt CO2 / M pkm",,,,200,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,switch to public transport as well,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-014,AT,Austria,14_TRA,Trend electromobility - Promoting electric vehicles according to the Austrian Energy Strategy,"Development and use of clean, and at least partly electrified vehicles for private, public and commercial traffic",see accompanying report,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2013,,,Regional entities,,with additional measures (WAM),,"Passenger car CO2, kt CO2 / M pkm",,,,90,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,increased electricity demand,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-015,AT,Austria,15_TRA,Economic incentives - commuter tax reform (job ticket),promote the use of public transport for ,see accompanying report,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2013,,,"National government, Regional entities",,with additional measures (WAM),,"Passenger car CO2, kt CO2 / M pkm",,,,70,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,switch to public transport,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-016,AT,Austria,16_TRA,Economic incentives - implementation of the new infrastructure costs Directive 2011/76/EG in Austria,"charging for external effects (eg. Noise, air pollution) together with tolls",see accompanying report,"Fiscal, Economic",Transport: Infrastructure charging for heavy goods (revised Eurovignette) 2006/38/EC,,,Transport: Infrastructure charging for heavy goods (revised Eurovignette) 2006/38/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2013,,,"National government, Regional entities",,with additional measures (WAM),,"Passenger car CO2, kt CO2 / M pkm",,,,4,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,yes,switch to railway transport,This also leads to a decrease of air pollutants from road transport.,,,OK,"Actually this measure is implementing 76/2011/EG,  but this CCPM is not possible to select."
AT-TRA-017,AT,Austria,17_TRA,Improvements in freight transport - Implementation of National Action Plan Danube Navigation (NAP),increase the freight transport on the Danube,see accompanying report,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2013,,,Regional entities,,with additional measures (WAM),,"Freight transport CO2, kt CO2 / M tkm",,,,0.2,,,,,,,,"Report: Energiewirtschaftliche Inputdaten und Szenarien als Grundlage für den Monitoring Mechanism 2013 und das Klimaschutzgesetz, Umweltbundesamt 2013 ",,,,,,,,,No,,This also leads to a decrease of air pollutants from road transport.,,,OK,
AT-TRA-018,AT,Austria,18_TRA,CO2 Labelling for passenger cars ,help customers to decide for a climate-friendly car,information of car users about CO2 emissions and fuel consumption,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Transport: New Passenger Car Labelling on fuel economy rating 1999/94/EC,,,Transport: New Passenger Car Labelling on fuel economy rating 1999/94/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2006,,,National government,,Not in projections,,"Passenger car CO2, kt CO2 / M pkm",,,,,,,,,,,,based on submission from 2011,,,,,,,,,yes,19_tra,decrease in air pollutants,,,OK,
AT-TRA-019,AT,Austria,19_TRA,promoting the purchase of clean and energy-efficient cars,"promoting and stimulating the market for clean and energyefficient
vehicles","This measure requires contracting authorities to take into account lifetime energy and environmental impacts, when purchasing road transport vehicles. For this reason technical specifications have to be elaborated regarding the whole lifetime of the vehicle. This specifications must be considered for the purchase.","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Transport: Clean and Energy efficient road transport Directive 2009/33/EC,,,Transport: Clean and Energy efficient road transport Directive 2009/33/EC,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,,,"National government, Regional entities, Local government",,Not in projections,,"Passenger car CO2, kt CO2 / M pkm
Freight transport CO2, kt CO2 / M tkm",,,,,,,,,,,,based on submission from 2011,,,,,,,,,yes,18_tra,decrease in air pollutants,,,OK,
AT-TRA-020,AT,Austria,20_TRA,Implementation of EURO 5 and EURO 6 standards ,limiting air pollution caused by road transport,"This regulation (EC/715/2007) is setting emission limits for air pollutants, such as carbon monoxide (CO), non-methane hydrocarbons and total hydrocarbons, nitrogen oxides (NOx) and particulates (PM for the different types of vehicle), ","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2007,,,National government,,Not in projections,,"Passenger car CO2, kt CO2 / M pkm",,,,,,,,,,,,based on submission from 2011,,,,,,,,,yes,"switch to other means of transports, e.g. railways or shipping",decrease in air pollutants,,,OK,"The Euro standard regulation is not in the list of CCPMs, for which reason non-CCPM is chosen, although not correct."
AT-TRA-021,AT,Austria,21_TRA,ACEA - voluntary agreement ,Raising market share of advanced engine technlogiers with low fuel consumption,Not required,"Voluntary/ negotiated agreement, Fiscal, Economic","Transport: Voluntary agreement with car manufacturers to reduce specific CO2 emissions (ACEA, KAMA, JAMA)",,,"Transport: Voluntary agreement with car manufacturers to reduce specific CO2 emissions (ACEA, KAMA, JAMA)",CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,,,,National government,,Not in projections,,"Passenger car CO2, kt CO2 / M pkm",,,,,,,,,,,,based on submission from 2011,,,,,,,,,yes,"18_tra, 19_tra",decrease in air pollutants,,,OK,
AT-RES-001,AT,Austria,01_B,Efficient new buildings,This measure group targets the energy efficiency of new buildings by reducing the energy consumption. The measure group includes: toughening the standards of construction 2010 and financial support for new buildings. ,see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2013,2030,,"National government, Regional entities",,with existing measures (WEM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,27.04910322,,,76.7815747317,,,,123.708910262,,,,"modell: INVERT/EE-Lab (Energy Economics Group of the Technical University of Vienna, TU WIEN 2013): domestic heating and hot water supply ",,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
